NRCPTOT,NAME,state_code,county
3438791,"Oklahoma County, Oklahoma",Oklahoma,109
116422,"Custer County, Oklahoma",Oklahoma,39
25619,"Beaver County, Oklahoma",Oklahoma,7
52384,"Chippewa County, Michigan",Michigan,33
2819179,"Worcester County, Massachusetts",Massachusetts,27
576521,"Hampshire County, Massachusetts",Massachusetts,15
224838,"Nantucket County, Massachusetts",Massachusetts,19
378024,"Monroe County, Michigan",Michigan,115
376469,"Allegan County, Michigan",Michigan,5
7026981,"Oakland County, Michigan",Michigan,125
118362,"Hillsdale County, Michigan",Michigan,59
22651,"Alger County, Michigan",Michigan,3
391514,"Muskegon County, Michigan",Michigan,121
67355,"Oceana County, Michigan",Michigan,127
144388,"Leelanau County, Michigan",Michigan,89
294027,"Lapeer County, Michigan",Michigan,87
83231,"Clare County, Michigan",Michigan,35
140374,"Sanilac County, Michigan",Michigan,151
3905,"Keweenaw County, Michigan",Michigan,83
165472,"Isabella County, Michigan",Michigan,73
13465,"Ontonagon County, Michigan",Michigan,131
1006267,"Ottawa County, Michigan",Michigan,139
131594,"Tuscola County, Michigan",Michigan,157
24088,"Alcona County, Michigan",Michigan,1
75859,"Alpena County, Michigan",Michigan,7
127027,"Ionia County, Michigan",Michigan,67
46673,"Kalkaska County, Michigan",Michigan,79
198559,"Midland County, Michigan",Michigan,111
422450,"Berrien County, Michigan",Michigan,21
52120,"Ogemaw County, Michigan",Michigan,129
25374,"Oscoda County, Michigan",Michigan,135
93162,"Wexford County, Michigan",Michigan,165
37911,"Crawford County, Michigan",Michigan,39
252059,"Clinton County, Michigan",Michigan,37
55230,"Dickinson County, Michigan",Michigan,43
97328,"Gratiot County, Michigan",Michigan,57
102184,"Huron County, Michigan",Michigan,63
936477,"Ingham County, Michigan",Michigan,65
233504,"Lenawee County, Michigan",Michigan,91
80768,"Mason County, Michigan",Michigan,105
64676,"Menominee County, Michigan",Michigan,109
164474,"Montcalm County, Michigan",Michigan,117
50597,"Missaukee County, Michigan",Michigan,113
154078,"St. Joseph County, Michigan",Michigan,149
453897,"St. Clair County, Michigan",Michigan,147
211062,"Van Buren County, Michigan",Michigan,159
1381950,"Washtenaw County, Michigan",Michigan,161
45869,"Arenac County, Michigan",Michigan,11
179086,"Barry County, Michigan",Michigan,15
137816,"Cass County, Michigan",Michigan,27
26058,"Iron County, Michigan",Michigan,71
73107,"Benzie County, Michigan",Michigan,19
60443,"Roscommon County, Michigan",Michigan,143
16248,"Schoolcraft County, Michigan",Michigan,153
4544453,"Wayne County, Michigan",Michigan,163
135504,"Branch County, Michigan",Michigan,23
477688,"Grand Traverse County, Michigan",Michigan,55
364109,"Jackson County, Michigan",Michigan,75
32231,"Mackinac County, Michigan",Michigan,97
1060701,"Genesee County, Michigan",Michigan,49
92104,"Antrim County, Michigan",Michigan,9
65671,"Houghton County, Michigan",Michigan,61
770735,"Livingston County, Michigan",Michigan,93
53198,"Iosco County, Michigan",Michigan,69
28771,"Lake County, Michigan",Michigan,85
61268,"Manistee County, Michigan",Michigan,101
22513,"Montmorency County, Michigan",Michigan,119
31022,"Presque Isle County, Michigan",Michigan,141
84453,"Gladwin County, Michigan",Michigan,51
730214,"Kalamazoo County, Michigan",Michigan,77
85899,"Mecosta County, Michigan",Michigan,107
112667,"Marquette County, Michigan",Michigan,103
132331,"Newaygo County, Michigan",Michigan,123
58823,"Osceola County, Michigan",Michigan,133
87866,"Otsego County, Michigan",Michigan,137
255135,"Calhoun County, Michigan",Michigan,25
78876,"Cheboygan County, Michigan",Michigan,31
10790,"Luce County, Michigan",Michigan,95
2475729,"Kent County, Michigan",Michigan,81
3017808,"Macomb County, Michigan",Michigan,99
436539,"Saginaw County, Michigan",Michigan,145
173768,"Shiawassee County, Michigan",Michigan,155
15430,"Baraga County, Michigan",Michigan,13
229189,"Bay County, Michigan",Michigan,17
125682,"Charlevoix County, Michigan",Michigan,29
284491,"Eaton County, Michigan",Michigan,45
67312,"Delta County, Michigan",Michigan,41
31731,"Gogebic County, Michigan",Michigan,53
169394,"Emmet County, Michigan",Michigan,47
30614,"Koochiching County, Minnesota",Minnesota,71
